Tweet,Analysis,context,Counter,
  وبالنسبه للواي فاي الاغلب غير مستفيد منها ابدااااااااا,,,,
"  وبإمكان هيئة الاتصالات السعودية ترسل خطاب صغير لشركة أبل بأن الحكومة سمحت للفيستايم بالعمل عشان ترسل أبل تحديث للأجهزة المستخدمة في السعودية علشان تتفعل الخدمة.. 
الأمر بسيط لكن هناك أمر ما.",,,,
  وبعد شرح مفصل وكانهم فاهمين المشكله من جذورها ارسلو لي الفني عشان يشيك على النت في المنزل ، بعد التشييك قال الفني المشكله في سيرفر الدمام وانه مودمك يشبكك على سيرفر البحرين قلت كيف خدمة العملاء يقول لي المشكله مو في السيرفر .. رد علي بانه الفنيين هم الفاهمين وخدمة العملاء مساعده,,,,
  وبعدينننن مع النت من الفجر م فيه ليه؟الله ياخذكم,,,,
  وبعزة الله وجلاله م اعطيكم ولا هلله مره ثانيه ع نتكم ياحيوانات,,,,
  وبكره تحيك اس تي سي بفلوس الاشتراك,,,,
  وتجيك هجمه مرتدة الدقيقه ٩٠ يقطع البث  ,,,,
  وتغطيتكم سيئه,,,,
  وتو يردون علي وكل موظف يقول لي كلام غير الثاني مرا نت 3شهور ومرا نت 2شهرين,,,,
  وجودكم ياهيئة الاتصالات بدون اي فايده جربتكم فعلاً نصعد الشكاوي لكم وبالنهايه اطلع انا الكذاب والمشغل هو الصادق  مكان فيه اكثر من 1000 شخص عمود الاتصال يبعد عنهم اكثر من 5كم تابع ل اس تي سي والثاني لشركة زين تخيلو فقط يدعم الجيل الثاني ياناس حنا في 2018 ومازال 2G,,,,
"  وداعاً للصلع وتساقط الشعر بعد اليوم ..
احصل على علاج طبيعي بنسبة 100 وخالي تماماً من اي مواد كيماوية ومرخص من وزارة الصحة وهيئة الدواء .
لا تتردد بالاستفسار عبر رسائل الخاص الخاص .  ",,,,
"  وداعاً للصلع وتساقط الشعر بعد اليوم ..احصل على علاج طبيعي بنسبة 100 وخالي تماماً من اي مواد كيماوية ومرخص من وزارة الصحة وهيئة الدواء .لا تتردد بالاستفسار عبر رسائل الخاص الخاص .  ",,,,
  وربي النت صاير زباله وهوا الياف  ,,,,
  وربي كلاب اس تي سي,,,,
  وربي ماارتحت غير يوم سحبت عليهم شوكة تعبانة خدمات بدائية👎🏼,,,,
  وزد عليها يابوابراهيم رخص الانترنت في شركات الاتصالات عندهم وهي نفس شركات الاتصالات اللي عندنا !!!!!!,,,,
  وزيادة على ذلك كثيراً ماينقطع الاتصال كما هو الآن ☹️  ,,,,
"  وزير الاتصالات هايط اول ماتعين واقابل ناس بشركات الاتصالات ووعد بتحسين الخدمه وللاسف يوم عن يوم تزداد سوءً امام عينه وهو لايحرك ساكنشركات اقوى من الهيئهمبالغ ضخمه تستحصلها الشركات مقابل خدمه ردئيه جداً .. وللاسف الهيئه هي الخصم والحكملانقول الا حسبي الله وكفى",,,,
  وزير زبال شركات الإتصالات داعسين عليه دعس ومايقدر يعمل شيء!,,,,
"  وزیر داخلہ ہندوستان سے ہے؟ کرو کیس دلاو سزا۔
لیکن نہیں اس طرح کوئی فائدہ ی ہو گا آپ کو۔ آپ دھمکاؤ خریدو، لٹو تے پھٹو",,,,
  وش احسن باقة انترنت تناسب الطلاب ؟,,,,
  وش احسن سرعة النت stc ولا موبايلي,,,,
"  وش احسن يعطي جوال ؟؟انا اقول عرض زين 250 حلو",,,,
  وش الحل يا عادل؟ اس تي سي واضح انهم مو راضين يربطون بالسيرفر حق دبي 💔,,,,
  وش الخطة !؟ بحول رقمي لكم و طز في عيال الكلب  ,,,,
  وش العرض الزباله ذا 🙂,,,,
"  وش العروض عندكم لمسبق الدفع ؟
أنا عميل ل   أكثر من ١٠ سنوات وطفشششششت من العروض التعبانة 
ناوي احول شريحتي لموبايلي",,,,
"  وش العروض عندكم لمسبق الدفع ؟أنا عميل ل   أكثر من ١٠ سنوات وطفشششششت من العروض التعبانة ناوي احول شريحتي لموبايلي",,,,
  وش الفايده ومافيه 3G ؟؟؟ اشحن واتعبب وفي النهايهE حتى رساله واتس ماتجي من كثر ماالشبكه تبن,,,,
  وش الفائدة من النت اذا كان استخدام عادل,,,,
  وش الفرق بين مسبقة الدفع وكويك نت 220,,,,
  وش المميز الان كان ٣٠٠ قيقا ب ٣٠٠ والان ٤٥٠قيقا ب ٤٥٠ ريال وين العرض ؟!!!,,,,
  وش الموجود من البيانات حالياً,,,,
  وش النت ذا   #سوء_شبكه_الحناكيه,,,,
  وش دخل وزير الاتصالات ي اخي هذي مشكله الشركه المشغله ليس من الانصاف ان نحمل وزير اخطاء شركه مشغله وبعدين في جهه اسمها هيئه الاتصالات تستقبل الشكاوي عن اي مشغل با المملكه روح اشتك بدل ما تدربي راسك على الوزير,,,,
  وش ذا الكذب و الاستغلال لين متى تستغفلونا !!!؟؟؟؟؟,,,,
  وش رايكم تخفضون اسعار النت للمعقول مثل اول ... كنا نمدحكم من ناحية الاسعار افصل من اس تي سي وموبايلي والحين صرتوا اغلى منهم ... الطاهر لمنحول لوحده منهم ازين من اسعاركم المبالغ فيها,,,,
  وش رأيك في سهم الاتصالات السعودية كاستثمار,,,,
  وش طريقة تفعيل باقة ١٥٠ ؟  ,,,,
  وش عندكم ماتردوا فوق انكم فاصلين شريحتي تتغلون علانا؟؟؟.,,,,
  وش فايدة نقاطي انا عندي اكثر من ١٠٠٠,,,,
  وش معنى النت يصير قوي في منتصف الليل ؟,,,,
  وش هالدعايات السامجة 🤢,,,,
  وش هذا الكذب علينا.. 10 جيجا بايت ب 100 و 30 جيجا بايت ب 200.. يعني أخذوا زيادة 5 ريالات على السعر الأصلي 😒👎,,,,
  وش يقرب لك اللي ب اس تي سي يقول طف المودم وشغله😭؟,,,,
  وشركات الاتصالات تابعه لمين انت تقعد في استديو زين وتعرف العطل من مين لا تقعد تنكر خفايا ليش ابل تحجبه وش مستفيده من الحجب على شرايح السعوديه فقط وندري ان كان موجود قبل يوم بغى يحظره عرف كيف في يوم وليله ويوم بغى يرجعه الى الحين #الشراكة_مع_رواد_الوطن,,,,
  وشركة الاتصالات السعودية هل راح توحد موعد الفواتير,,,,
  وشهي الباقات الموجوده ؟؟ ابي نت مفتوح لمده ٤ شهور بسعر ٢٢٠,,,,
  وشي شبكه stc واي فاي,,,,
  وصل ١٤٠ قبل شوي.. أول ما الناس تبدأ تشوف نتفليكس، بينخفض. مشكلة الثروتل إنه يحدد مقدار إجمالي لاستخدام جميع مشتركين أس تي سي. كل ما زاد المشاهدين، انخفض.. أنا لي فترة ما أقدر أشوف أتش دي، ونتفليكس يقولون أحتاج ٥ كحد أدنى,,,,
"  وصلتني رسالة تحدد موعد تركيب الفايبر في 3/2/2018 ولكن لم يحضر او يتصل احد, اشتراكي تم تغييره للفايبر قبل التركيب. رقم الطلب 01250616يعني تأخير وتعطيل اضافة الى بدء فوترة الخدمة قبل الحصول عليها؟؟!!    ",,,,
  وصمتها عن احتيال شركات الإتصالات في باقات النت ماذا نسميه؟,,,,
"  وصول الطفله ماريا الي هذه المرحله كان بجهد فردي بحت وحين اتي الدور علي التصويت خذلتها شركات الاتصالات في بلادها كما خذلت العديد من قبلها #شركات الاتصالات اليمنيه لاتخدم ابنائها",,,,
  وضع البيانات في مجران دمار شامل وسيئة للغاية,,,,
  وطبعا السعر ما يشمل قيمة الضريبة المضافة 😂,,,,
"  وع ل ي ك م السلا......م 

ماعندك احد تنفخ بشنة مشقوقة
 #الانترنت_عندك_سريع_او_بطي",,,,
  وعع يوم كامل والله اس تي سي صح ضعيف بس ماينقطع يوم كامل والله اهون منه.😢😂😂,,,,
"  وعليك السلام، يسعد صباحك ، يسعدنا تواصلك في جوي من الاتصالات السعودية، 
ولا تشيل هم بخصوص موضوع الفيزا رح ينحل قريب ان شاء الله 
اماكن توفر نقاط الواي فاي تقدر تطلع عليها من خلال هالرابط: 

 طريقه الاستخدام:
-اختر STC Wi-Fi
-اختر ...  ",,,,
"  وعليكم السلام . .الرجاء التواصل مع الشركات المشغلة ( الاتصالات السعودية , زين , موبايلي ) والتأكد من عدم ايقاف الرسائل الدعائية",,,,
  وعليكم السلام .. تم نقل مكتب بريد المرسلات بجوار مكتب المصيف على طريق الإمام سعود بن عبد العزيز  بن محمد الفرعي ، مقابل شركة الاتصالات السعودية .. نشكر تواصلك ^R,,,,
"  وعليكم السلام .الرجاء التواصل مع الشركات المشغلة ( الاتصالات السعودية , زين , موبايلي ) والتأكد من عدم ايقاف الرسائل الدعائية",,,,
"  وعليكم السلام ، نعتذر منك لا تتوفر خدمة إنترنت لمدة شهروفي حال كانت الباقة التي لديك على شريحة صوتية مفوترة فيمكنك الإطلاع على جميع خدمات الإنترنت المتوفرة حالياً من خلال الرابط التالي : .. يتبع",,,,
"  وعليكم السلام ، يسعد صباحك بكل خير،حياك الله في جوي من الاتصالات السعودية. 
من خلال حسابك في الموقع - طلباتي - تختار رقم الطلب وبعد ذلك رح يجيك خيار "" الغاء الطلب"" وتاكد عملية الالغاء يالغالي. 
في حال وجود اي استفسار آخر احنا متواجدين دوماً لمساعدتك.",,,,
  وعليكم السلام اخوي، خدمة الإنترنت اللامحدود غير متوفرة في الوقت الحالي، في حال توفرها سيتم الإعلان عنها. يتبع.,,,,
"  وعليكم السلام محمد، يسعد مساك بكل خير،حياك الله في جوي من الاتصالات السعودية.
ولا يهمك لحظات نشيك على النظام وابشر باللي يسرك.",,,,
  وعليكم السلام ورحمة الله وبركاته ، حياك ربي اخوي الغالي نعتذر عن اللي حصل معاك، ياليت تجرب من مُتصفح آخر او تجرب من جهاز كمبيوتر، ونعم بإمكانك تحول رقمك من إس تي سي او موبايلي او زين، لما تختار الشريحة وقبل تكمل إجراءات الطلب راح يظهر لك خيار تحويل الرقم وتقدر تحول رقمك.,,,,
  وعليكم السلام ورحمة الله وبركاته، أستاذي الكريم للتأكد من حالة عقد الالتزام ما عليك أمر اتصل من نفس الرقم على خدمة العملاء 107 للخطوط الصوتية، بالنسبة لخطوط الانترنت ما عليك أمر اتصل على 107 أو تواصل معانا من خلال استخدام خدمة الدعم المباشر في موقع زين، شكرا لك,,,,
"  وعليكم السلام/ نعم عزيزي، شركات الاتصالات أعضاء في سمة.جميع خدمات سمة الكترونية وليس لدينا فرع في حائل، يمكنك التسجيل بكل سهولة عن طريق البنك الذي تتعامل معه لتتمكن من الحصول على تقريرك الأول مجانًا، والاطلاع على تفاصيل تعاملاتك الائتمانية، تفضل الرابط: ",,,,
  وعليكم السلام، يسعدلنا مساك بكل خير،حياك الله في جوي من الاتصالات السعودية.,,,,
"  وعند شركة الاتصالات الخبر اليقين 
وافهم يافهيم بصوت &gt;&gt; الفريان 😉😉",,,,
  وفوق ذا كله يقولون بدون قيمه مضافه 😂😂😂,,,,
  وقسما وعظما ان ماعدلتو نتكم الخايس لا اسوي شي مايعجبكم,,,,
  وقف النت امس الساعه 8 الليل وانتظرت لين الساعه 1 ابيه يشتغل علشان ارفع فيديو اليوتوب وما اشتغل والى الان النت موقف مو شغال ؟  ,,,,
  وكم سعرها اذا موجوده وطريفة تفعيلها,,,,
  وكيف طريقة الاستخدام العادل في اليوم؟! هل نفس الوضع مع هالعرض او غيرتوه,,,,
"  ولا الموضوع عشانه جلس معكم وصور معكم خلاص نبدأ نطبل لهمعليش هذا تلاعب من شركات الاتصالات ورغم هذا التلاعب حنا مضطرين نشتري منهم لأنهم محتكرين السوق وعشان الضمان بعد#جرير كانت تبيع الاجهزة بخدمة فيس تايم وبعدها دخلت معهم بنفق التلاعبهذي مسؤولية الوزارة والهيئة وكفايه تطبيل",,,,
  ولا تهون الحبيبة  ,,,,
"  ولا تهون شركات الاتصالات الخليوية الثلاث تلاعب بالفواتير وعدم مصداقية بالعقود وخدمه زفت وبالنهايه سدد بعدين قدم اعتراض ..وعاااااادي ماشيه امورهم على كذا زي اللوز من سنين ولا من شاف ولا من دري !!!!",,,,
  ولا ردوا وسحبو الرصيد  ,,,,
  ولا زالت الاتصالات السعودية أسعارها للإنترنت ناااار 🙄,,,,
  ولا شيء .. يب stc هي شركة الاتصالات السعودية,,,,
"  ولدينا دعم نحن #شركة_الفقاعات_الذكية للشباب السعودي بمناسبة قرار توطين الاتصالات بخصم يصل الى50% على دورة صيانة الهواتف الذكية بالرياض وخصم 30% لآهالي تبوك...
#الوطن يستاهل",,,,
"  ولله انتهى النت وللحين ما سددت💔🌚
مقفلين اس تي سي",,,,
  ولما تجين تعدلين يصير اس تي سي,,,,
"  ولماذا توقفت طرق اعانة الناس على صلاة الجماعة عند اقفال المحال التجارية! بهذا المنطق يجب مراجعة وسائل اعانة الناس على الصلاة سنويا ويتم تطبيق وسائل جديدة مع تغير الزمان، سأقترح أمثلة:1-الزام شركات الاتصالات بإيقاف خدمة الإنترنت بعد دخول وقت الصلاة او تبطئتها إلى اقل درجه",,,,
  وليه ماتلزمون شركات الاتصالات بتحسين النت وخفض الاسعار!!!,,,,
  وماتفعلت,,,,
  ومازال العرض مستمر في النصب والاحتيال.,,,,
  ومع اسفي الشديد القى صعوبه بالتعامل معاكم مرررره عكس stc,,,,
"  ومن المعروف ان شركة كبيرة ومخضرمة في عالم الاتصالات كشركة #دو_الإمارات تسعى جاهدة إلى إرضاء وإسعاد متعامليها الحزينين، أمثالي، ورسم البسمة والبهجة والسرور على شفاههم، وتغيير نظرة البؤس والشقاء المرسومة في ثنايا وجوههم. 😢😔😞☹️🙁 يعني وفهمكم كفاية ،،،
#الامارات #الإمارات",,,,
"  ومن كتر الانجازات شركات الاتصالات تعمل نظام ""اشخرلى شكرا""وكول تون اغنيه""سلفنى شخرتك""",,,,
"  وهذا يعني أن شركات الإتصالات عندنا في #السعودية ينطبق عليها المثل القائل""حشفاً وسوء كيلة"" 
خدمات فاشلة وسوء خدمة وتعامل سيء.",,,,
"  وهذا يعني أن شركات الإتصالات عندنا في #السعودية ينطبق عليها المثل القائل""حشفاً وسوء كيلة"" خدمات فاشلة وسوء خدمة وتعامل سيء.",,,,
  وهل باقة راقي تخضع للاستخدام العادل ؟,,,,
  وهل تم منع سياسة الإستخدام العادل في كل شركات الإتصالات!!؟,,,,
  وهل فيها استخدام عادل ؟,,,,
  وہ جس نے اسے پکڑا ہوا، اس کو کس نظر سے دیکھیں 🤔 فٹے فیس تیری چوائس تے.. کوجے...,,,,
  وہ مجھے بھی پتہ مگر کائرہ کے مخالفت میں ہمارا ن لیگ کا امید وار بڑے سیدھا جیا بندہ اے تے پچھلی بار مشکل نال جیتیا پی ٹی آئی کا ممبر بھی اس سے مضبوط پوزیشن میں ہے اس بار تو,,,,
  ووينكم عن شركة الاتصالات اللي كان النت ب ٣٠٠ بقدرة قادر صار ٤٠٠ بغير وجه حق,,,,
  ويش الحل لي سنه وانا كذا ابغى حل ردو علي,,,,
"  وين الباقات ٢ جيجا ، ٥ جيجا (مسبقة الدفع)؟؟خدمتكم فاشلة !!! انا من ١٠ سنوات مع STC... بس خلاص ، وصلت إلى النهاية معكم .... و ساحول إلى موبايلي او زين ..",,,,
  وين باقة فله ١٠٠ ؟,,,,
  وين بنفس السعر ، زيادة 150 ريال عن قبل الضرائب ، ولا يوجد سبب لهذة الزيادات المبالغة فيها ، حسبي الله ونعم الوكيل,,,,
  وين خدمة العملاء الي تقولون عنها رد ماتردون بالله ماتستحون لو منتظر دلفري كان وصل  ,,,,
  وين هالاماكن لان باقي اروح المريخ يمكن تشبك 🤨,,,,
  ویسے ایک کام اچھا ہوا اگر ڈاکٹر شاہد جھوٹا ثابت ہو گیا اور عدالت نے اسے سزا سنا دی تو پھر جیو کی بھی خیر نہیں کیونکہ جتنے جھوٹ جیو کے صحافی بولتے ہیں اس حساب سے چیمے تے نورانی نے نورانی دی چھٹی پکی,,,,
  يَا أَيُّهَا الَّذِينَ آمَنُواْ لاَ تَأْكُلُواْ أَمْوَالَكُمْ بَيْنَكُمْ بِالْبَاطِلِ إِلاَّ أَن تَكُونَ تِجَارَةً عَن تَرَاضٍ مِّنكُمْ وَلاَ تَقْتُلُواْ أَنفُسَكُمْ إِنَّ اللّهَ كَانَ بِكُمْ رَحِيمًا,,,,
"  ي حبيبي شركة موبايلي خدمة العملاء بمصر لو يحطونها بالسعودية افضل و تجي شركة تمسكها و توظف سعوديين بس بدل المهزلة الي عايشينها كل مانتصل على #موبايلي يرد مصري ويعطيني تصريفة حلوة الافضل شركة تمسكها هنا بالمملكة مو بمصر",,,,
  ي حراميه,,,,
  ي خالد موبايلي ممتاز بكل مكان قريبي عنده اس تي سي الياف بجده طبعا يفصل ع وانا عندي موبايلي ٥ بارات و م يفصل تصدق من فيفا ١٧ و حتى الان م فصل ع ولا مرا الحمدالله,,,,
  ي خرا انا مفعله نت وبعد كم يوم شحنت رصيد لحاله للاتصالات تقومو تسحبوه كلو ؟ واتصل عليكم عشان استسفر ليش انسحب ماتردو 👞👞👞👞👞👞,,,,
  ي شباب روحوا موبايلي فيه عرض ١٠٠ قيقا ب ١٣٠ ريال مسبوقة الدفع لا يفوتكم العرض اس تي سي مو ناوية تنزل لنا الاسعار موبايلي الان بتنزل الاسعار وراح تحطم الاسواق الكل ينقل شريحة موبايلي,,,,
  ي شركة الاتصالات المتكاملة في عمال معهم سياره مكتوب عليه stc هواوي موتركم ولا وقف عند الكبينه حقتنا,,,,
  ي شركة فاشله انقلع بس,,,,
  ي موبايلي شحنت ب١٢٠ وارسلت لتفعيل حلا١ وما ارسلو لي شى بعدين انسحب الرصيد كله واتصل على خدمة العملاء يقولي الرد الالي مشغول,,,,
  ي هوووووةه انا مسدده شهريا وامس اشوف تصدر الفاتورة بعد يومين وفجأة نازله حقت شهرين,,,,
  يا stc نبي نعزل نبي ننقل لبيت ثاني وشلون ننقل مشغل النت المودم لحي ثاني???????,,,,
  يا اختي ! انا متضرر من شخص له اسم عبود٢٦ ! بعد ما عمل حسابات على ارقامي في شركات الاتصالات ؟؟,,,,
  يا اخوي بطريق ينبع الجديد وبالذات بقرى بئر الروحاء تبعد عن المدينه المنورة ٧٩ كيلو  النت ضعيف جدا .... لابد من إيجاد الحل نحن ب٢٠١٨ ياهووو,,,,
  يا ازق شبكة والعن شبكه وازق موظفين زق عليكم وعلى اللي سواكم وعلى شبكتكم💙,,,,
"  يا أستاذ ساميالshow off اللي صار أمس لا يرضي أي شخصكلنا نعرف بأن الشركة أبل تقنن خدماتها حسب طلب الجهات المختصة في البلد و نعرف بعد بأن الحجب تم عن طريق شركات الاتصالات واللي تنظم عملها وتفرض تشريعاتها هم الهيئة اللي مفروض عليها مطالبة الشركة أبل برفع الحظر",,,,
"  يا جماعة الخير الموضوع بصريح العبارة
دعاية ملفتة الانتباه لشركة الاتصالات السعودية STC
وياريت تلفت انتباه القائمين على تنظيم المباريات
والدليل...
لاحظوا التوقيت الذي توقف به
ولاحظوا بدايته قبل نهاية الأذان
ولاحظوا دعاية STC نهاية المقطع",,,,
"  يا جماعة الخيرلو تضامن جميع أصحاب المركبات الخصوصي وأوقفوا مركباتهم عن الحركهيومين ثلاث شوه بصير بالدنيا صدقوني رايح يكونخسارة فادحهوردة فعل  وصدف قبل فتره عندما تظامن الكثير فيإغلاقجوالتهم كم كانت خسارة شركات الإتصالاتكل الاحترام والتقديرإستاذ مالك عبيدات",,,,
  يا حبيبنا ما نبى لا نجمع ولا نضرب ولا نقسم حتى فعلولي خدمتي معقولة اشحن من العصر والى الان ماصار شيء؟ واتصل على خدمة العملاء دايما مكروفين على وجيههم محد يرد,,,,
  يا حراميه ١٥ جيجا ب ٢٢٠ ريال وموبايلي عندهم ٢٠ جيجا ب ١٢٠ ريال  ,,,,
  يا زق لي ساعة ادق عليكم مافي تجاوب كس ام موبايلي,,,,
"  يا شركة #زين كنت اطلب ع التعليقات تحسين التغطيه والشبكه وطلبتو مني مراسلتكم خاص وبعد ما راسلتكم #طنشتوني 
الله يكسركم ولا يوفقكم",,,,
  يا شركه الاتصالات كم الضريبه المضافه على شريحه بيانات فاتوره ١٦٠,,,,
  يا كثر النصب والاحتيال من شركات الاتصالات كلها جربناها والله حراميه وقطاع طرق وحاطين المفوتر عشان تطلعون الفاتوره في الاخير ب 500 الى 600 ريال وتقولون لانك خلصت القيقا اللي عطيناك واستعملت زياده لا بارك الله لكم فيما اخذتم من اموال بالحرام من المسلمين الله يحاسبكم فيها ونار عليكم,,,,
  يا مال الفقر والفلس ان كانكم سارقينا,,,,
  يا مدراء ورؤساء شركة الاتصالات الموقرة نرسل في الخاص والعام لحل المشكله والحقيقه المره لايوجد تجاوب لا في هذا ولا في ذاك الى متى هل اصبحت مشكلتي معضلة على شركة الاتصالات لحلها ؟؟؟ هل من مجيب,,,,
"  يا مشاري يا حبيبي 
الله يسعدك 
STS نوع سيارة كاديلاك فخمه زيك
STS شركة الإتصالات السعودية",,,,
"  يا ملكنا هؤلاء 👇 وقفوا مع شركات الإتصالات ضد المواطنين ننتظر وقفة حازمة لمن وضعتوا الأمانة عندهم وخانوها       hU#شركات_الاتصالات_تستغل_حاجتنا",,,,
  يا ناس اسحبو عليهم حراميه والله حولو على موبايلي باقاتهم ارخص بكثيررر  ,,,,
"  يا هيئة الإتصالات ..شركات الإتصالات تأخذ فلوسنا ولا تقدم لنا خدمة النت السريعة والمطلوبة.اخذت من شركة الإتصالات شريحة بيانات كويك نت ...كانت ب ٣٠٠ ريال : اصبحت بعد الضريبة ٤٢٠ ريال. يمكن فهموا غلط...ودوخنا الإتصال ..يجلس يلف وصرنا نلف مع لفات البحث والتنزيل.",,,,
"  يا هيئة الإتصالات شركة (موبايلي) تسرقنا وانتم تقفون تتفرجون؟
أين دوركم في حماية حقوق المواطنين أنتم موجود لحمايتنا؟
وأين محاسبة شركات الإتصالات؟
خمسة ايام الان منذ ان دفعت قيمة تجديد باقة البيانات ولم أحصل على الخدمة أريد حقي واريد تعويضا عن ايام التعطل عن عدم توفير الخدمة ..؟",,,,
"  يا هيئة الإتصالات شركة (موبايلي) تسرقنا وانتم تقفون تتفرجون؟أين دوركم في حماية حقوق المواطنين أنتم موجود لحمايتنا؟وأين محاسبة شركات الإتصالات؟خمسة ايام الان منذ ان دفعت قيمة تجديد باقة البيانات ولم أحصل على الخدمة أريد حقي واريد تعويضا عن ايام التعطل عن عدم توفير الخدمة ..؟",,,,
"  يا والله حن في معناه عندنا أبراج وشركة STC مافعلة شرايحها حن في خبت ال سلمان ياليت تفيدونا نبي تركبونا شرائح STC      ",,,,
  يااااحيبيبيييي انت هالكلام اللي كاتبه وموجهه لاابل صحيح ولكن ابل ما راح ترد عليك اللي المفروض يرسل هالشي هو اللي طلب المنع سوء من هيئة الاتصالات او شركات الاتصالات لا نقعد نستهبل الموضووووع واضح,,,,
  يااستاذ منذ اكثر من عام وانا بشتكى لوزير الاتصالات عدم استقرارالنت مع شركه دى داتا و للاسف لا حياة لمن ينادى,,,,
  يابن الحلال انا ألياف وياله يوصل ١٦ اس تي سي تلعب في السرعات بكيفها واذا كلمتهم يرفعونها لك يوم وبعدها تنزل 😡,,,,
"  يابن الحلال اول شي طورو الحيوانات هذولا 👇
    وخاصه اس تي سي
خدمات فاشله واسعار مرتفعه
انترنت بطيء وفاتوره مرتفعه
واستخدام عادل والسرعه ١ ميجا ؟ حتى في اضعف دول العالم ما صارت هذي السرعه
المملكه تتطور خارجياً وتفشل للاسف داخليا بسبب الفساد الحاصل من كل الشركات .",,,,
"  يابن الحلال اول شي طورو الحيوانات هذولا 👇    وخاصه اس تي سيخدمات فاشله واسعار مرتفعهانترنت بطيء وفاتوره مرتفعهواستخدام عادل والسرعه ١ ميجا ؟ حتى في اضعف دول العالم ما صارت هذي السرعهالمملكه تتطور خارجياً وتفشل للاسف داخليا بسبب الفساد الحاصل من كل الشركات .",,,,
  يابن الحلال مفتوح ضعفتوها ليش تبون نحول اس تي سي يعني,,,,
  يابنت اخذت من اس تي سي ١٠٠ جيجا ب ٢١٠ وشفت ب مبايلي ٤٥٠ جيجا ب ٤٥٠ ريال شرايك؟؟؟؟؟,,,,
  يابو فهد شركة الاتصالات السعودية لم تلتزم بالأمر الملكي الكريم واصدرت فاتورتي قبل الراتب ب ثلاث ايام 😔من ينصفنا منهم ؟,,,,
  ياترجعون حدي الائتماني زي ماهو عليه والا الغو الفواتير المفبركه من كيفكم ! توي مالي يومين مسدده وتجي فاتوره فلكيه ؟؟اسرقو بشويش طيب,,,,
"  ياجماعة ويش الاحسن من ناحية سرعة الانترنت زين ولا موبايلي ولا stc",,,,
  ياحبيبي زودو المده عشان اتمتع بلقيقات معقوله اقدر اخلص ٤٥٠ قيقا ب ٣ شهور وادفع ا٤٥٠ عشان بلكتير استخدم ١٠٠ قيقا ف ٣ شهور وارجع تنسحب عليه ٣٥٠ قيقا ببلاش زودو المده او خفضو السعر,,,,
  ياحبيبي هنا جميع الشركات اس تي سي وموبايل وزين متفقين عليك أنت المستهلك يعني لايجي أحد يقولك هدي أفضل هدي كلها بضاعة واحده,,,,
  ياحبيبي ياعيوني يا اس تي سي والحل معاكم النت كل الاشارات شغاله بس لما اشبكه بالجوال مايشتغل ولا حتى اقدر اتصفح شوف لي حل 🙂💔,,,,
"  ياحبيبي يافيصل
وانت براحتك بعدم حب شركة أبل وبغضها بشكل أو ثاني
لكن علمني وش مصلحة شركة تمنع خدماتها إذا مو هيئة الاتصالات هي اللي مضيقة الموضوع بمباركة الوزير؟
مافيه خدمة أساسية يتم منعها أو حجبها إلا بأمر حكومي داخل الدولة صاحبة هذا الأمر
وهنا الكلام عن هيئة الاتصالات النايمة",,,,
  ياخوي رد على الاستفسار اللي صار له اسبوع مطنشه,,,,
  ياخوي غيرت الباقه وما تفعلت معاي الخدمة ١٢٠,,,,
"  ياخوي لقيت فاتورتي اكثر من 500 ريال ،، وانا باقتي ب 280 ؟! 

وش السالفة",,,,
  ياخي ابك انت ويش ❤️❤️❤️❤️❤️❤️😔😔😔😔😔 الله ياخذ اس تي سي بس,,,,
  ياخي الانترنت منقطع عندنا واتصلنا عليكم ولا تجاوبتوا معنا وش الخدمه هذي ؟؟؟!!!!,,,,
  ياخي السوق فيه أكثر من 180 شركة وش معنى إتحاد الإتصالات بالذات؟  إفرض تفاقمت خسائرها وش وضعك ساعتها؟,,,,
  ياخي انا موبايلي ماتشتغل عندي فالبيت مرا ضعيفه مافيه إرسال ونا من سكان جدة أتمنى تشوفون لنا حل عشان اقدر اشتري نت اما كذا حتى لو شريته مراح أستفيد منه,,,,
  ياخي انتو ماتستحون ترى حنا ندفع فلوس مو معطينا نت من حلالكم ياخي عدلو خدمتكم او نزلو اسعاركم مقابل الخدمة الزفت,,,,
  ياخي ايش الظلم هذا مفعل باقة مفوتر ٤٠٠ والنت مره بطيئ واصحابي معهم كويس ايش القصه جد جد اخس شركه💔,,,,
  ياخي حلو مشكلتي تقريبا ماعاد الا أنا في السعودية الي اذا جيت ابغى اتصل يطلع له هذاك اللي يقول الرجاء زيارة اقرب فرع لتحديث بصمتك وزرة الفرع ثلاث مرات ويقولون لي انت مبصم خلاص ودقيت على ١١٠٠ ولا صار شي 😭😭,,,,
  ياخي خدماتكم سيئه جدا جدا ولا أنصح حد بالتعامل معكم,,,,
  ياخي خلصتو فلوسي والله,,,,
"  ياخي كل شيء إلا الاستهتار بعقولنااذا منت قادر على شركات الاتصالات استقيل وفكنا من استهبالاتك",,,,
  ياخي ليش تزيدوها اش اسوي ب450 قيقا رجعوها زي ماكانت 😐,,,,
"  ياخي ليه موظفينكم مايردووو!!؟؟؟
والله لو نبي سلف!!؟؟",,,,
  ياخي مايصير التعامل مع العملاء بهذي الطريقة اتصلت ع الرقم الي في الامارات ويقول مشكلة في شركة الاتصالات وهذا غير صحيح بعد اخر تحديث لكم صارت المشكلة وتم ارسال اكثر من ايميل مافي اي تجاوب,,,,
  يارب افوز معكم,,,,
